	Unnamed: 0	lemme	freqlemlivres	freqlemlivres_cumsum	freqlemlivres_cumsumpercent
323	140629	épaule	288.72	633740.8099999998	63.37408099999998
324	130323	train	288.65	634029.4599999997	63.40294599999999
325	113902	route	288.04	634317.4999999999	63.431749999999994
326	92432	parfois	287.36	634604.8599999999	63.46048599999999
327	122693	souvent	286.96	634891.8199999997	63.48918199999999
328	90789	oublier	286.96	635178.7799999998	63.51787799999998
329	7627	apprendre	286.69	635465.4699999997	63.54654699999998
330	77435	livre	286.49	635751.9599999997	63.57519599999997
331	119937	servir	286.22	636038.1799999997	63.60381799999997
332	101287	près	285.41	636323.5899999997	63.63235899999997
333	16248	bouche	283.45	636607.0399999997	63.660703999999974
334	136371	voiture	283.11	636890.1499999997	63.68901499999997
335	30209	continuer	282.77	637172.9199999997	63.71729199999997
336	104032	quatre	282.64	637455.5599999997	63.74555599999997
337	18255	bruit	281.49	637737.0499999997	63.77370499999997
338	130059	tout	281.01	638018.0599999997	63.80180599999997
339	97350	plutôt	280.74	638298.7999999997	63.829879999999974
340	79702	manger	280.61	638579.4099999997	63.85794099999997
341	55862	fenêtre	280.2	638859.6099999996	63.88596099999997
342	110241	rentrer	279.93	639139.5399999997	63.91395399999997
343	55682	façon	277.3	639416.8399999997	63.941683999999974
344	83901	montrer	276.55	639693.3899999998	63.969338999999984
345	96330	pièce	276.35	639969.7399999998	63.99697399999997
346	124548	suite	275.81	640245.5499999998	64.02455499999998
347	39338	dès	275.07	640520.6199999998	64.05206199999998
348	55100	famille	274.39	640795.0099999998	64.07950099999998
349	136837	vraiment	274.32	641069.3299999997	64.10693299999997
350	15629	boire	274.32	641343.6499999997	64.13436499999997
351	78199	lumière	274.26	641617.9099999997	64.16179099999997
352	113635	rouge	273.24	641891.1499999997	64.18911499999997
353	102620	puis	272.77	642163.9199999997	64.21639199999997
354	61808	geste	271.08	642434.9999999997	64.24349999999997
355	54757	face	270.88	642705.8799999997	64.27058799999996
